epoch,loss,accuracy,val_loss,val_accuracy,val_auc
0,0.69362,50,0.68549,69.62,0.552
2,0.6933,50,0.68712,69.62,0.582
4,0.69344,50,0.68785,69.62,0.577
6,0.69317,50,0.68851,69.62,0.567
8,0.69306,50.431,0.68891,69.62,0.548
10,0.69291,50,0.68889,69.62,0.542
12,0.69283,46.552,0.68881,69.62,0.56
14,0.69285,50,0.68865,69.62,0.559
16,0.69227,50,0.68809,69.62,0.576
18,0.69262,50.431,0.68833,69.62,0.55
20,0.69232,50,0.68815,69.62,0.598
22,0.69242,51.293,0.68765,70.886,0.6
24,0.6918,53.448,0.68729,67.089,0.58
26,0.692,51.724,0.6874,49.367,0.62
28,0.6915,52.586,0.68694,54.43,0.607
30,0.69184,51.724,0.68748,46.835,0.62
32,0.69135,53.017,0.68548,58.228,0.645
34,0.69106,59.483,0.68312,72.152,0.629
36,0.69085,54.31,0.68272,68.354,0.633
38,0.69013,54.741,0.68312,65.823,0.604
40,0.68932,53.879,0.68335,54.43,0.623
42,0.68914,53.448,0.68327,53.165,0.62
44,0.68742,53.017,0.68427,46.835,0.624
46,0.68685,56.897,0.67967,51.899,0.619
48,0.68652,55.172,0.68444,46.835,0.625
50,0.68689,56.034,0.6835,46.835,0.626
52,0.68523,56.034,0.68395,48.101,0.615
54,0.68477,56.897,0.68243,48.101,0.617
56,0.68043,59.052,0.67954,49.367,0.62
58,0.67792,60.776,0.68011,49.367,0.629
60,0.68113,56.034,0.67254,59.494,0.621
62,0.67923,58.19,0.6733,54.43,0.617
64,0.68012,59.914,0.65801,72.152,0.616
66,0.67272,58.19,0.6701,59.494,0.621
68,0.67255,63.362,0.67195,55.696,0.61
70,0.66979,62.5,0.65748,65.823,0.618
72,0.66282,59.052,0.6444,70.886,0.618
74,0.66607,59.483,0.65741,63.291,0.639
76,0.65935,62.5,0.65254,64.557,0.637
78,0.65785,63.793,0.61153,69.62,0.633
80,0.65465,62.069,0.64408,68.354,0.629
82,0.64947,64.655,0.6294,68.354,0.623
84,0.65261,65.948,0.64204,67.089,0.63
86,0.64341,62.069,0.62136,72.152,0.651
88,0.63889,63.793,0.65553,60.759,0.655
90,0.63684,63.362,0.65314,63.291,0.657
92,0.64276,65.086,0.60977,72.152,0.65
94,0.63068,64.655,0.61965,69.62,0.671
96,0.60341,69.397,0.61945,69.62,0.68
98,0.61796,65.517,0.58703,70.886,0.68
100,0.60582,66.81,0.58495,74.684,0.701
102,0.60515,68.966,0.60132,69.62,0.678
104,0.59585,65.517,0.57509,70.886,0.679
106,0.59111,67.672,0.64372,60.759,0.676
108,0.59435,72.414,0.56633,72.152,0.691
110,0.57785,71.121,0.57729,74.684,0.689
112,0.57432,68.534,0.56852,74.684,0.702
