epoch,loss,accuracy,val_loss,val_accuracy,val_auc
0,0.6940,50.0000,0.7016,32.4680,0.5050
2,0.6933,50.0000,0.6979,32.4680,0.6120
4,0.6929,49.7630,0.6943,32.4680,0.6660
6,0.6927,49.5260,0.6935,35.0650,0.7620
8,0.6922,58.0570,0.6975,32.4680,0.7840
10,0.6920,51.8960,0.6945,32.4680,0.7600
12,0.6909,55.9240,0.6916,55.8440,0.7520
14,0.6889,60.1900,0.6933,46.7530,0.7690
16,0.6870,59.2420,0.6936,44.1560,0.7340
18,0.6835,61.1370,0.6918,48.0520,0.7380
20,0.6765,60.6640,0.6734,71.4290,0.7480
22,0.6663,67.5360,0.6752,67.5320,0.7650
24,0.6525,62.5590,0.6666,64.9350,0.7560
26,0.6371,64.4550,0.6322,75.3250,0.7560
28,0.6125,69.1940,0.6314,70.1300,0.7660
30,0.5943,72.7490,0.5858,75.3250,0.7720
32,0.5709,73.9340,0.6060,67.5320,0.7770
34,0.5465,77.0140,0.5677,77.9220,0.7800
36,0.5403,75.1180,0.5515,77.9220,0.7960
38,0.5095,77.7250,0.6451,59.7400,0.7850
40,0.4958,77.9620,0.5656,75.3250,0.7900
42,0.4983,76.0660,0.5234,77.9220,0.7840
44,0.4537,79.6210,0.5119,79.2210,0.7920
46,0.4431,81.5170,0.5921,70.1300,0.8050
48,0.4380,80.8060,0.5638,74.0260,0.8020
50,0.4050,81.7540,0.4904,79.2210,0.8100
52,0.4058,81.5170,0.5145,79.2210,0.8120
54,0.3891,82.9380,0.5430,79.2210,0.7900
56,0.3676,84.3600,0.5198,79.2210,0.7920
58,0.3486,84.3600,0.5234,75.3250,0.7860
60,0.3529,84.1230,0.5252,80.5190,0.7930
62,0.3177,86.9670,0.8184,57.1430,0.8250
64,0.3502,85.0710,0.5009,80.5190,0.8320
66,0.3147,85.5450,0.5036,80.5190,0.8280
68,0.3252,86.0190,0.5011,80.5190,0.8150
70,0.2938,89.5730,0.6391,72.7270,0.8280
72,0.2965,87.4410,0.5062,80.5190,0.8360
74,0.3053,87.4410,0.5322,81.8180,0.8210
76,0.2859,90.0470,0.5289,79.2210,0.8180
78,0.2901,87.6780,0.5175,80.5190,0.8270
80,0.2832,87.4410,0.6526,70.1300,0.8220
82,0.2654,89.5730,0.5146,80.5190,0.8290
84,0.2730,89.8100,0.5231,79.2210,0.8170
86,0.2597,89.8100,0.5379,81.8180,0.8340
88,0.2208,92.6540,0.6065,76.6230,0.8180
90,0.2002,94.7870,0.5729,83.1170,0.8190
92,0.2264,91.2320,0.5206,79.2210,0.8300
94,0.2234,90.7580,0.5599,81.8180,0.8320
96,0.2064,91.9430,0.5378,80.5190,0.8380
98,0.2216,91.7060,0.6296,77.9220,0.8290
100,0.2101,91.2320,0.5643,81.8180,0.8340
102,0.2163,90.9950,0.7176,72.7270,0.8190
104,0.1868,93.3650,0.5373,81.8180,0.8380
106,0.2095,91.4690,0.6642,76.6230,0.8380
108,0.1911,92.1800,0.5177,81.8180,0.8480
110,0.1829,91.9430,0.6993,74.0260,0.8370
112,0.1739,94.5500,0.5805,83.1170,0.8470
114,0.1979,92.1800,0.5848,83.1170,0.8550
116,0.1819,92.6540,0.5421,81.8180,0.8440
118,0.1772,93.3650,0.5462,81.8180,0.8430
120,0.1880,93.1280,0.5302,83.1170,0.8540
122,0.1723,93.3650,0.5307,83.1170,0.8540
124,0.1808,93.6020,0.5191,81.8180,0.8620
126,0.1579,94.5500,0.5441,81.8180,0.8520
128,0.1370,95.7350,0.5483,81.8180,0.8520
130,0.1623,94.7870,0.5553,83.1170,0.8450
132,0.1284,95.7350,0.6522,80.5190,0.8450
134,0.1566,93.3650,0.7851,68.8310,0.8360
136,0.1217,95.4980,0.5647,79.2210,0.8410
138,0.1427,94.5500,0.5519,81.8180,0.8450
140,0.1190,95.9720,0.5507,81.8180,0.8490
142,0.1391,95.2610,0.5524,80.5190,0.8420
144,0.1197,96.2090,0.5758,80.5190,0.8450
146,0.1204,95.9720,0.5493,81.8180,0.8640
148,0.1298,95.2610,0.5485,83.1170,0.8580
150,0.1308,95.2610,0.5460,80.5190,0.8500
152,0.1119,96.6820,0.5801,80.5190,0.8430
154,0.1302,95.4980,0.5796,83.1170,0.8520
156,0.0965,96.6820,0.5770,81.8180,0.8550
158,0.1228,94.7870,0.5732,80.5190,0.8540
160,0.1083,96.2090,0.6033,80.5190,0.8660
162,0.1080,95.9720,0.5520,80.5190,0.8650
164,0.1015,97.3930,0.5634,83.1170,0.8620
166,0.0892,96.9190,0.5542,81.8180,0.8660
168,0.1105,96.2090,0.5585,79.2210,0.8650
170,0.1183,94.7870,0.5750,81.8180,0.8520
172,0.0855,96.6820,0.6212,79.2210,0.8440
174,0.0996,97.1560,0.5912,81.8180,0.8520
176,0.0959,95.7350,0.6430,80.5190,0.8540
178,0.0944,96.6820,0.6264,77.9220,0.8550
180,0.0851,97.1560,0.6130,81.8180,0.8580
182,0.0701,98.1040,0.5862,81.8180,0.8550
184,0.0838,97.1560,0.5957,80.5190,0.8580
186,0.0868,96.6820,0.5555,83.1170,0.8730
188,0.0953,96.2090,0.5927,81.8180,0.8550
190,0.0677,97.6300,0.5956,80.5190,0.8440
192,0.0608,98.1040,0.8568,68.8310,0.8520
194,0.0751,97.6300,0.6815,79.2210,0.8440
196,0.1014,96.4450,0.6399,80.5190,0.8550
198,0.0517,98.5780,0.6792,79.2210,0.8420
200,0.0726,97.6300,0.6312,77.9220,0.8550
202,0.0570,97.6300,0.6528,81.8180,0.8630
204,0.0672,96.9190,0.6287,81.8180,0.8570
206,0.0515,99.0520,0.6120,80.5190,0.8580
208,0.0769,97.1560,0.6093,80.5190,0.8680
210,0.0452,99.0520,0.6613,80.5190,0.8610
212,0.0670,98.1040,0.6211,84.4160,0.8650
214,0.0569,98.1040,0.6267,81.8180,0.8580
216,0.0581,97.3930,0.6454,80.5190,0.8620
218,0.0401,98.8150,0.6738,75.3250,0.8510
220,0.0488,98.8150,0.6586,76.6230,0.8500
222,0.0367,99.2890,0.9405,71.4290,0.8650
224,0.0357,99.5260,0.6342,81.8180,0.8880
226,0.0450,98.1040,0.5910,83.1170,0.8750
228,0.0449,98.5780,0.6468,81.8180,0.8650
230,0.0291,99.5260,0.7232,74.0260,0.8580
232,0.0526,98.1040,0.6517,80.5190,0.8580
234,0.0566,99.0520,0.6169,83.1170,0.8850
236,0.0354,99.0520,0.7230,77.9220,0.8570
238,0.0346,98.5780,0.6529,80.5190,0.8630
240,0.0403,99.0520,0.6931,79.2210,0.8530
242,0.0550,98.1040,0.6773,79.2210,0.8680
244,0.0324,98.8150,0.6769,81.8180,0.8720
246,0.0555,97.8670,0.6979,77.9220,0.8670
248,0.0256,99.2890,0.6060,80.5190,0.8580
250,0.0526,99.0520,0.6340,83.1170,0.8750
252,0.0272,99.2890,0.6765,81.8180,0.8690
254,0.0377,99.0520,0.6365,80.5190,0.8660
256,0.0357,99.2890,0.9181,74.0260,0.8680
258,0.0482,97.6300,0.6317,81.8180,0.8650
260,0.0423,98.3410,0.6824,80.5190,0.8560
262,0.0182,99.7630,0.6442,83.1170,0.8640
264,0.0333,99.0520,0.8685,71.4290,0.8750
266,0.0252,99.0520,0.6005,81.8180,0.8880
268,0.0492,97.6300,1.0306,70.1300,0.8840
270,0.04186,99.052,0.7186,81.818,0.874
272,0.02893,98.815,0.63165,81.818,0.879
274,0.01431,99.526,0.62779,81.818,0.892
276,0.01794,99.763,0.68725,81.818,0.876
278,0.01892,99.526,0.64278,80.519,0.881
280,0.00954,100,0.62016,83.117,0.901
282,0.04508,98.578,0.65753,84.416,0.882
284,0.02482,99.526,0.67333,81.818,0.875
286,0.01433,99.526,0.6807,81.818,0.882
288,0.0116,99.763,0.68645,83.117,0.878
290,0.03201,98.815,0.74741,80.519,0.875
292,0.01032,100,0.64015,81.818,0.869
294,0.02054,99.289,1.06755,71.429,0.868
296,0.01816,99.526,0.67103,83.117,0.879
298,0.01871,99.526,0.75728,81.818,0.87
299,0.01905,99.526,0.65912,84.416,0.881
