epoch,loss,accuracy,val_loss,val_accuracy,val_auc
0,0.6939,50.0000,0.7008,32.4680,0.3880
2,0.6931,50.0000,0.6980,32.4680,0.5120
4,0.6929,51.1850,0.6944,32.4680,0.6070
6,0.6925,50.4740,0.6943,42.8570,0.5860
8,0.6918,56.1610,0.6983,32.4680,0.6170
10,0.6909,54.0280,0.6933,51.9480,0.6120
12,0.6893,62.5590,0.6893,54.5450,0.6310
14,0.6870,61.1370,0.6884,57.1430,0.6360
16,0.6836,64.9290,0.6844,58.4420,0.6520
18,0.6781,59.9530,0.6951,49.3510,0.6580
20,0.6722,63.5070,0.6634,62.3380,0.6630
22,0.6630,63.7440,0.6463,68.8310,0.7030
24,0.6441,67.2990,0.6888,50.6490,0.7220
26,0.6352,65.6400,0.6220,68.8310,0.7320
28,0.6153,68.9570,0.6354,66.2340,0.7520
30,0.5882,70.8530,0.6765,53.2470,0.7810
32,0.5672,71.0900,0.7882,49.3510,0.7800
34,0.5576,70.6160,0.6138,64.9350,0.8040
36,0.5406,73.2230,0.6003,67.5320,0.8220
38,0.5150,76.7770,0.6186,63.6360,0.8480
40,0.4870,78.1990,0.5510,70.1300,0.8580
42,0.4746,78.4360,0.4916,76.6230,0.8750
44,0.4497,78.9100,0.4313,81.8180,0.8870
46,0.4366,81.9910,0.4406,83.1170,0.8920
48,0.4213,80.3320,0.7853,58.4420,0.8980
50,0.4195,82.7010,0.4066,83.1170,0.9120
52,0.4016,80.3320,0.5725,68.8310,0.9110
54,0.3995,82.2270,0.6073,67.5320,0.9200
56,0.3696,85.5450,0.4561,76.6230,0.9310
58,0.3822,83.8860,0.4039,85.7140,0.9320
60,0.3401,85.7820,0.5459,70.1300,0.9350
62,0.3512,84.1230,0.5094,72.7270,0.9480
64,0.3497,85.5450,0.4399,76.6230,0.9450
66,0.3607,83.6490,0.5330,72.7270,0.9480
68,0.3220,86.2560,0.5474,71.4290,0.9530
70,0.3204,87.6780,0.3284,84.4160,0.9380
72,0.3268,86.7300,0.6998,63.6360,0.9500
74,0.3129,87.4410,0.4361,75.3250,0.9540
76,0.3196,85.3080,0.3282,85.7140,0.9480
78,0.2869,89.5730,0.3396,85.7140,0.9470
80,0.2773,88.1520,0.3184,83.1170,0.9480
82,0.2727,87.4410,0.3679,80.5190,0.9500
84,0.2532,90.0470,0.5101,75.3250,0.9450
86,0.2479,89.5730,0.4152,79.2210,0.9450
88,0.2407,90.9950,0.4957,76.6230,0.9480
90,0.2643,89.3360,0.3629,81.8180,0.9460
92,0.2426,89.3360,0.3508,83.1170,0.9470
94,0.2416,89.5730,0.5126,76.6230,0.9420
96,0.2335,88.6260,0.4134,80.5190,0.9440
98,0.2352,90.5210,0.5267,77.9220,0.9300
100,0.2388,90.9950,0.3676,83.1170,0.9450
102,0.2004,92.4170,0.4652,80.5190,0.9420
104,0.1992,92.6540,0.3835,83.1170,0.9410
106,0.1858,93.3650,0.4037,80.5190,0.9420
108,0.1922,93.1280,0.3328,84.4160,0.9380
110,0.1939,92.8910,0.3189,84.4160,0.9440
112,0.1872,92.1800,0.3431,84.4160,0.9420
114,0.2108,90.5210,0.6262,75.3250,0.9520
116,0.1626,93.6020,0.4683,80.5190,0.9440
118,0.1729,93.3650,0.4365,83.1170,0.9510
120,0.1670,94.7870,0.4044,83.1170,0.9460
122,0.1554,95.0240,0.3192,84.4160,0.9480
124,0.1556,94.7870,0.4432,81.8180,0.9470
126,0.1433,95.0240,0.3997,83.1170,0.9410
128,0.1539,93.3650,0.5544,80.5190,0.9430
130,0.1442,95.7350,0.4834,83.1170,0.9470
132,0.1588,93.6020,0.4025,85.7140,0.9450
134,0.1126,95.4980,0.4195,84.4160,0.9440
136,0.1478,94.7870,0.3399,87.0130,0.9400
138,0.1398,95.0240,0.3937,84.4160,0.9450
140,0.1167,95.9720,0.4354,84.4160,0.9470
142,0.1327,95.7350,0.4373,85.7140,0.9430
144,0.1058,96.2090,0.4475,85.7140,0.9520
146,0.1029,96.4450,0.3865,85.7140,0.9480
148,0.1060,96.2090,0.4725,84.4160,0.9450
150,0.1080,96.4450,0.4956,80.5190,0.9490
152,0.1096,96.4450,0.3438,85.7140,0.9340
154,0.0970,98.1040,0.4790,83.1170,0.9330
156,0.0918,96.9190,0.4044,84.4160,0.9370
158,0.0853,97.3930,0.4074,85.7140,0.9320
160,0.1209,95.7350,0.4911,83.1170,0.9320
162,0.0867,97.3930,0.3517,85.7140,0.9300
164,0.0880,96.9190,0.4491,83.1170,0.9370
166,0.0676,98.1040,0.4776,81.8180,0.9370
168,0.0660,97.8670,0.5434,83.1170,0.9390
170,0.0695,97.3930,0.3304,92.2080,0.9410
172,0.0553,98.8150,0.3712,88.3120,0.9430
174,0.0625,97.8670,0.4792,83.1170,0.9340
176,0.0806,97.3930,0.4777,83.1170,0.9370
178,0.0598,98.1040,0.4768,83.1170,0.9360
180,0.0540,98.8150,0.3483,88.3120,0.9470
182,0.0450,99.0520,0.3869,88.3120,0.9470
184,0.0652,97.6300,0.5288,81.8180,0.9400
186,0.0613,97.8670,0.4985,81.8180,0.9390
188,0.0732,96.6820,0.4150,87.0130,0.9330
190,0.0630,98.3410,0.3999,88.3120,0.9350
192,0.0683,97.3930,0.6409,79.2210,0.9320
194,0.0784,97.1560,0.4297,85.7140,0.9350
196,0.0517,98.1040,0.5288,84.4160,0.9300
198,0.0496,98.5780,0.5176,84.4160,0.9250
200,0.0637,97.6300,0.3741,88.3120,0.9470
202,0.0546,98.1040,0.4131,87.0130,0.9420
204,0.0576,97.1560,0.3357,90.9090,0.9480
206,0.0471,98.3410,0.3786,89.6100,0.9410
208,0.0654,97.3930,0.4323,87.0130,0.9320
210,0.0400,99.0520,0.4347,84.4160,0.9380
212,0.0467,99.0520,0.3962,85.7140,0.9380
214,0.0479,98.8150,0.3977,89.6100,0.9340
216,0.0532,97.3930,0.5437,81.8180,0.9250
218,0.0627,97.3930,0.5122,83.1170,0.9280
220,0.0556,98.3410,0.3953,89.6100,0.9370
222,0.0575,98.3410,0.3922,89.6100,0.9410
224,0.0506,98.3410,0.5051,83.1170,0.9280
226,0.0308,98.8150,0.3830,90.9090,0.9340
228,0.0441,98.1040,0.5115,81.8180,0.9340
230,0.0318,99.0520,0.6548,79.2210,0.9270
232,0.0359,99.2890,0.5040,84.4160,0.9250
234,0.0333,99.0520,0.4263,89.6100,0.9230
236,0.0282,99.0520,0.3978,89.6100,0.9410
238,0.0359,99.0520,0.3931,89.6100,0.9390
240,0.0339,99.2890,0.4293,87.0130,0.9430
242,0.0323,98.8150,0.4650,84.4160,0.9280
244,0.0247,98.8150,0.4617,88.3120,0.9340
246,0.0146,99.7630,0.5749,81.8180,0.9340
248,0.0265,99.2890,0.5603,83.1170,0.9280
250,0.0278,99.5260,0.4950,85.7140,0.9330
252,0.0279,99.0520,0.5385,84.4160,0.9240
254,0.0203,99.5260,0.4130,89.6100,0.9340
256,0.0495,98.1040,0.4329,87.0130,0.9310
258,0.0480,97.8670,0.4533,87.0130,0.9300
260,0.0257,99.0520,0.4672,87.0130,0.9350
262,0.0220,99.5260,0.5114,84.4160,0.9280
264,0.0261,99.5260,0.5002,85.7140,0.9370
266,0.0146,99.7630,0.6204,84.4160,0.9280
268,0.0124,99.7630,0.4806,83.1170,0.9360
270,0.0431,98.3410,0.4332,90.9090,0.9310
272,0.0339,98.8150,0.6228,81.8180,0.9180
274,0.0210,99.2890,0.6890,83.1170,0.9280
276,0.0258,99.2890,0.5532,84.4160,0.9460
278,0.0243,99.5260,0.4082,90.9090,0.9450
280,0.0466,98.1040,0.5020,84.4160,0.9360
282,0.0285,98.5780,0.5291,84.4160,0.9400
284,0.0123,99.5260,0.5123,84.4160,0.9460
286,0.0381,98.1040,0.4741,88.3120,0.9380
288,0.0146,99.5260,0.4769,87.0130,0.9390
290,0.0149,99.5260,0.4555,92.2080,0.9350
292,0.0185,99.7630,0.8730,76.6230,0.9360
294,0.0092,100.0000,0.4645,89.6100,0.9380
296,0.0249,99.0520,0.5154,87.0130,0.9320
298,0.0276,99.0520,0.4610,90.9090,0.9410
299,0.0313,98.3410,0.4716,89.6100,0.9360
