id,label
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/TYP-031/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C33/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C32/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/N285/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/N286/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C27/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C25/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C21/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C20/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C19/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C18/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C17/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C35/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C16/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C160/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C15/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C157/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C155/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C151/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C150/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C14/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C149/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C146/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C144/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C143/axis2/3D_View2_9.png,covid
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C61/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C62/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C64/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C65/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C66/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C67/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C68/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C70/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C72/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C73/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C76/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C78/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C81/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C86/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C87/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C89/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C92/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/C98/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/IND-002/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/IND-003/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/IND-004/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/IND-005/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/IND-006/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/IND-008/axis2/3D_View2_9.png,others
/home/guilherme/Documents/noa/cidia19/data/hmv-hcpa/views66/IND-016/axis2/3D_View2_9.png,others
